dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae
Dataset_3772,single_output,Si Particle Size (um),lightgbm,7,1,0.9824844784382257,0.027115991947241284,0.03432404043954593,0.021002122005061644,0.9639784631906947,0.04326384075976118,0.07210640126626863,0.03947968030551319
Dataset_3772,single_output,Si Particle Size (um),lightgbm,7,2,0.9796615757019805,0.030309696098809603,0.037887120123512,0.025606231010267554,0.9717091226147524,0.03132185090219023,0.0614153939258632,0.026597811291208407
Dataset_3772,single_output,Si Particle Size (um),lightgbm,7,3,0.9862782169110628,0.02483939719166969,0.03104924648958711,0.017370749974060153,0.9174249612482895,0.05516163447321794,0.08897037818260958,0.043535428803715304
Dataset_3772,single_output,Si Particle Size (um),lightgbm,7,4,0.9857213942931412,0.026820505531142354,0.03352563191392794,0.021681095357525652,0.8921266582458522,0.04318179899688538,0.11363631314969835,0.03290543758626965
Dataset_3772,single_output,Si Particle Size (um),lightgbm,2024,0,0.9841183007567292,0.026053534533247436,0.032566918166559294,0.020389451499774336,0.8842536755537466,0.060829434455970235,0.11264710084438932,0.051088687039876346
Dataset_3772,single_output,Si Particle Size (um),lightgbm,2024,1,0.981147914789268,0.03058577014937949,0.03823221268672436,0.02620007376196831,0.9220354567108472,0.039732888718905485,0.08637584504109887,0.034078723167674546
Dataset_3772,single_output,Si Particle Size (um),lightgbm,2024,2,0.9846575960844045,0.026953160465522492,0.033691450581903114,0.020069357171230463,0.8905989022622538,0.04889528491469662,0.10865618869932583,0.04405221796946174
Dataset_3772,single_output,Si Particle Size (um),lightgbm,2024,3,0.9610480534181541,0.03485578247461993,0.056219003991322465,0.026757324425316722,0.8581739869495904,0.10980940541553998,0.13726175676942495,0.08101358769490472
Dataset_3772,single_output,Si Particle Size (um),lightgbm,2024,4,0.9849784127662173,0.02651127575541699,0.03313909469427124,0.020358350929454143,0.9673935726759697,0.03153457609757408,0.06569703353661267,0.024029953138369847
Dataset_3772,single_output,Si Particle Size (um),lightgbm,99,0,0.979008772160053,0.031793627012259414,0.04024509748387267,0.025200631616953715,0.8776288628401555,0.056948834433323124,0.11864340506942317,0.04803338585093215
Dataset_3772,single_output,Si Particle Size (um),lightgbm,99,1,0.9785217734893589,0.030195865622517176,0.03774483202814647,0.022607112190124345,0.9431094850915929,0.04659536257881739,0.0751538106109958,0.04248918927064903
Dataset_3772,single_output,Si Particle Size (um),lightgbm,99,2,0.9762868191664699,0.029504798653148145,0.04539199792792023,0.023150396040079117,0.8885129089802443,0.08228137241004997,0.1097084965467333,0.06314828551156945
Dataset_3772,single_output,Si Particle Size (um),lightgbm,99,3,0.9862128725682129,0.02655432278448311,0.033192903480603886,0.021659415717847665,0.846413274686381,0.04597667721780133,0.1313619349080038,0.03274048992315599
Dataset_3772,single_output,Si Particle Size (um),lightgbm,99,4,0.9837867117626743,0.025468704569014233,0.03183588071126779,0.018882967913974195,0.937301188459804,0.060892782334462596,0.10148797055743766,0.05198679081971832
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,42,0,0.9756912229957226,0.03292943081757129,0.04116178852196411,0.024438541299263435,0.9865640759264157,0.023368490303520683,0.04409149113871827,0.020023940686548346
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,42,1,0.9947082913418351,0.015491651214917034,0.01936456401864629,0.011193404611886578,0.9168197409087677,0.05594296032031122,0.1075826160005985,0.04599605553602341
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,42,2,0.9747443462137282,0.029334998001942114,0.046563488891971615,0.02137986919488828,0.872724427748097,0.08582772527954566,0.1281010825067846,0.07344071190924725
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,42,3,0.9886135466929816,0.022869601173784004,0.028948862245296206,0.01913631986026925,0.8157347804961351,0.04652676947416442,0.1329336270690412,0.03746045810606914
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,42,4,0.9874605830077747,0.024360123322801585,0.03045015415350198,0.017480756105527285,0.9363547081910006,0.04366349975157865,0.07938818136650665,0.040071918152604184
Dataset_3772,single_output,Si Particle Size (um),gradient_boosting,123,0,0.9934681946456939,0.01750696796040099,0.021883709950501234,0.012821608571648938,0.9477983367012389,0.040750261945083646,0.08150052389016729,0.028393397930343282
